Title,Description,Label
"Can't recomend this Item","This was the second Graig player we bought the first one is still working but the second one is not working.  It will pop the tray out but won't put it  back in which kind of defeats the reason for it's being  One other thing in between our two purchases they changed the remote control the one that came with the second one doesn't even look like the one they show on Craig's website.  My advice DON'T BUY THIS ITEM!'","negative"
"Didnt Wirk Out","This didnt work. Pulled it right out of the box and heard something rattling around inside. Might have been damaged in transit but I was bummed.","negative"
"Worst picture quality B&W image no color","Terrible product. Very poor picture quality and plays in black and white no color! I tried on different TVs and even tried different cables from what came with it to see if any of those were the problem. But no it's the DVD player itself that isn't working. The picture gets even worse on the second TV I tried. Not only was it in black and white and snowy the image on the screen wouldn't stay still. It kept scrolling like an old film gone bad. It's unwatchable. I paid attention to the price when I should have been paying attention to the reviews. I absolutely would NOT recommend this one.","negative"
"Don’t buy.","Every single disc new and old that i have used in this player has skipped. I use this for workout videos and I can’t even get through an hour workout without issues with the player skipping. How do they expect people to watch 2 hour movies?","negative"
"broke with hardly any use","I ordered this for a Sunday School class and I can guarantee it was only used maybe 4 times before it broke.  The tray just pops in and out constantly until you unplug it.  The return window has closed or it would go back.","negative"
"Screen size randomly changes","First I waited to long to test the unit so I can't get my money back.  Best I can do is warn others.  This unit is cheap. Cheap to buy but poorly made.  Right out of the box the menu arrow buttons on the remote would sometimes work sometimes not.  Also right out of the box the screen would randomly switch size and then switch back.  There are other problems with the product but the above should be enough to convince you to stay away.  (Craig: CRummyAnnoyingIrritatinG)","negative"
"Zero Stars if possible!","When I got this dvd I try it out right away.The thing didnt work from the begining the remote wasnt responding even with new batteries. And when I pressed the button to open the disc tray it was stock.So I just unplugged it and send it right back.","negative"
"Would not play a DVD. Don't have the box ...","Would not play a DVD. Don't have the box anymore to return. Don't buy this cheap DVD player. Doesn't work","negative"
"REMOTE NOT INCLUDED!","Bought to use when my niece and nephews visited which time from when I ordered to when I opened the box was about 4 months totally my fault for not checking the box when I received the DVD player NO REMOTE!  Time to return item was already expired and unable to play DVD's without remote.  May try calling company not sure if I even want to deal with it.","negative"
"PIECE OF GARBAGE——DO NOT BUY","I have bought many Craig products before and I’ve never had as much problem with those as I have with this DVD player I’ve had it for just over a month and it keeps stopping it will go back to the beginning it will freeze and you can’t play it it is horrible do not buy this machine.  I can’t even play an hour and a half video without stopping and freezing 2 to 3 times.  I know it’s not my DVD movies because they play fine on other equipment do not buy this machine","negative"
"Excessive motor noise","Player took several weeks to arrrive. When I turned it on there was excessive motor noise as the disc rotated. Remote had very small buttons and seemed to lack the usual clear buttons for Play etc. No Instruction Manual.  Amazon processed Return with no problems.","negative"
"Compact","Very small and easy to set up batteries arrived corroded remote didn’t work and DVDs started stalling and skipping too bad it was the perfect compact size.","negative"
"Defective out of the box","I was hopeful this would work as the price is right the size is right for what I wanted it for.  Unfortunately every disc would skip or just wouldn't play.  Amazon was great they took it right back but don't waste your time on this DVD player","negative"
"Didn't work","Unpackaged and attempted to use and right out of the box it didn't work. First off it appears that the AC adapter that comes with it doesn't actually fit into the port. And then there was no power or lights on the machine. Don't waste your time.","negative"
"Piece of junk","Just bought 2 movies and this dvd player. Played the movie great second brand new movie goes in and grinds the dvd apart and stops working. Lots money both ways. So disappointed.  I've never had an issue with anything from Amazon.","negative"
"barebones and a bit flimsy","it's a bit finicky there's only a power button and an open/close button which automatically starts the CD (I haven't tried it with DVDs yet). The remote works but sometimes you have to press buttons multiple times to get it to work. My biggest complaint is that there's no display so you can't see what track or minute you're at. It feels a bit flimsy and it can be inconvenient to manoeuvre but it works and I can hook it up to my stereo so it does the job.","negative"
"this has only one way to hook it up","this has only one way to hook it up and I have a roku so am unable to use it","negative"
"JUNK.","Used dvd player twice and it malfunctioned.  Nothing more than JUNK.  Of course it happens outside of Amazon return policy.","negative"
"No color.","DVD player arrived very quicklybut color doesn't play. Only black and white.","negative"
"price to good too be true","got it..dont work with my down loads off my computer..i.ll eat it..price to good too be true...","negative"
"Avoid at all Costs. Garbage.","Arrived broken didn't work. Made out of cheap plastic. The remote control looked like it would last a week tops. Returned this.","negative"
"Very very disappointed. I wish I knew how to return the ...","Cannot get this product to work properly.  Very very disappointed.  I wish I knew how to return the product.","negative"
"Doesn’t work","When I took it out of the box and hooked it up it never even turned on it wouldn’t work at all. I Bought this for a friend thinking it will be a great DVD player for her to have but it doesn’t work at all.It won’t even power on. Very disappointed in this purchase","negative"
"One Star","stopped working in the first  30 days so returned it","negative"
"Horrible","Total waste of money . Did not work at all and it locked my dvd inside . Soon as I plugged it in it smelled funny then I put my dvd in and it didn’t work . I had sound no picture then the plug and machine smelled like it was burning so I unplugged it .Just a total loss","negative"
"Missing items that said it came with DVD player","No AC/DC plug outlet - had to pay more money for an item that should have been included.Contacted company Fed Ex'd cord - much appreciated- but it doesn't work at all...so I threw away my money don't throw away yours!!!","negative"
"Not great!","Cheap quality.. would not play color. Maybe product was damaged.","negative"
"One Star","had to return it.  the AC adapter included in the package didn't fit the DVD Player","negative"
"Move along...","Bought this for a backyard movie - it stopped halfway through and wouldn’t restart.  Contacted Craig and they asked for my address and all sorts of information...but....for nothing.  This sucks.","negative"
"Don't waste your $$","Cheap terrible build quality....it wasn't broken before I even had a chance to use it.  I'd like to give it negative stars","negative"
"Craig dvd plaryer","I don't like it it is in black n White picture  I want some thing in colour black n white was in the 50 n 60 now is 2017 thay still making black n white thing not good","negative"
"Craig DVD Player","Ordered 2 accidently neither worked. One wouldn't come on at all and the other's DVD drawer wouldn't opened. Returned both.","negative"
"One Star","Did not work right from the beginning. Ended up throwing it away because it wouldn't read any dvds","negative"
"Broke.","Did not work. And what really sucks thats my name.","negative"
"... tried 3 brand new DVDs and they kept saying bad disc the only thing it did was spin real ...","I had this DVD player for a week and after 3 days of using it it stop working I tried 3 brand new DVDs and they kept saying bad disc the only thing it did was spin real loud the stop o and the other thing is that it only works by the remote no play fast forward or rewind buttons on their I will not recommend this to no one","negative"
"One Star","never worked","negative"
"Stay away!","Piece of crap picture is terrible DVD is loud and makes grinding noises. Buy cheap get cheap.","negative"
"We used it once turned off and didn’t work again. DVD is stuck inside.","A gift for my goddaughter she used it ONCE and we didn’t even finish the movie. DVD player turned off and wouldn’t turn back on. Our dvd is stuck inside of it. Really disappointed!","negative"
"Cheap","Very cheap and remote doesn't have the option to rewind or fast forward.","negative"
"One Star","It did not work what more need be said?","negative"
"Doesn't work","It stopped working after only a month of use.","negative"
"Trash","The DVD player didn’t work tried multiple dvds and nothing. Complete waste of money!","negative"
"Junk!","Junk!","negative"
"Player does not support HDMI.","I probably should have checked before I bought this but it only has VGA connections and no HDMI output.  No use to me as is.","negative"
"Don't waste your money!","A real waste of money! It makes such a loud vibration noise that you can't use it. I wanted a small player to fit in my space but looks like I should have bought a big one to start with.","negative"
"Junk","This seriously worked for two weeks and its just a little bigger than the DVD itself.","negative"
"When it works good picture. Problem is remote doesn't do anything","When it works good picture. Problem is remote doesn't do anything could not stop play go back or even open to insert docs. Would recommend a different player.","negative"
"Stopped working after two weeks. Sending it back for ...","Stopped working after two weeks.  Sending it back for a refund.  Bought a new cd player from a store to replace this.","negative"
"Not very happy at all","I bought this as a gift in December and just found out it quits playing halfway through everything. Not very happy at all.","negative"
"PIECE OF JUNK SAVE YOUR MONEY","First the door won't open so a DVD could be loaded. Pressed the button to open the door and the door would move a fraction of an inch but would not open. After continually pushing the button on the remote as well and/or the one on the unit itself it finally opened. But then it wouldn't play a DVD. After many attempts using several different DVD's it finally played for about 1 minute the first time but stopped and could not get it to play again finally got it to play a different DVD after many attempts but only for about 30 seconds. I worked with the unit for a long time thinking that the door was too tight and that it would loosen up over time but after it wouldn't play I finally gave up and contacted Amazon who contacted the supplier Billy & Sons that was yesterday afternoon and as of this evening I have not been contacted by the supplier.  Usually Craig is a good product but the one I got sure wasn't. I went to Walmart and purchased a player today from them that is working good I should have done in the first place but it is hard for my wife and I to get around. I hope that the supplier gets back to me with a return authorization. I will wait a couple of days and if I haven't heard from them I will contact Amazon again.","negative"
"The size is great but after less than a month or so","The size is great but after less than a month or so it makes a very loud vibrating noise.  We have tried to put a pad underneath it but doesn't help.  Would not recommend.","negative"
"One Star","Player arrived defective: the disc tray will not open after pressing EJECT button but device keeps humming.","negative"
"Poor quality","It is very difficult to watch a movie because it keeps freezing up. Guess you get what you spend. Would not suggest any one to purchase this item...","negative"
"dvd's skip","This unit skips the dvd. Unfortunately I waited too long to return. If possible I would like a replacement.","negative"
"Two Stars","Tray seldom stays out to change disk. Disk noise is awful. Very long spin ups.","negative"
"One Star","Got it and had to send back did not work","negative"
"One Star","this unit is piece of junk it does not load any kind of disk","negative"
"Plays only 'now and then'... so it only collects dust.","I didn't expect much but for some reason it doesn't play most of the CD's I've put into it.  It's a basic machine with no LCD display so you can't tell what it's thinking... only that most of the time it doesn't play. That I somehow got it to play a couple times is almost more frustrating!","negative"
"Don't bother","I've had this goot about 2 months now andthe screen flashes while I use it.  At first I thought it read my TV but the flashing dots not happen unlessI'm using the dvd player","negative"
"Very Noisy","Makes a lot of noise right out of the box. after a few months it became temperamental on how long it would play.","negative"
"Bad Out of the Box","Product was bad out of the box. Pushing the power button it flashed on for less than a second and then turned itself off. It wouldn’t even stay on long enough to load a DVD.I am ordering another one assuming this was a fluke. I’ll update my review when the next one arrives.","negative"
"Very bad. Play only one day and got broke","Very bad.  Play only one day and got broke.. it says disc error and don't play anymore..","negative"
"Cheap","Cheap. Not worth your time","negative"
"Do not buy","Terrible dvd player. It did not work right out of the box. Very disappointed.","negative"
"You get what you pay for I guess","Kind of (extremely) cheapI'm giving it 2 stars because it plays the DVD after about 15 minutes of it sounding like its dying which is better than it not playing at all I guess. It makes a sound like the fan is going out but it's actually the DVD spinning and catching on something","negative"
"JUNK","Never worked.  Ate my disc.  Had to disassemble it to get my disc out!!","negative"
"Stopped working quickly","Stopped working on the 2nd cd.  Ridiculous.","negative"
"craigg dvd","very noisy and poor quality made in china","negative"
"One Star","died after a couple of months","negative"
"Don't purchase!","I tried this product three times and not a single one worked properly!  Worst piece of electronics I have purchased in a long time.  Don't waste your time !!","negative"
"Very compact-Craig is a well known brand","The description said it would play J Peg but it would not play our phhoto CD's","negative"
"One Star","another warehouse deal that just doesn't work properly.","negative"
"low-end electronics","Only worked for about 4 months then would not read disks","negative"
"I'm in Afghanistan on deployment and bought this for my ...","I'm in Afghanistan on deployment and bought this for my dad who is in a nursing home. Only took one month till it broke and would not recognize any dvd. Save your money  it's not worth it.","negative"
"Bought in November. Used once; attempted to use ...","Bought in November.  Used once; attempted to use in March does not work!  Manufacturer 90 day warranty has expired!! Total junk!","negative"
"Not worth it","Lasted 3 months not a lot of use","negative"
"Cheaply made","Not a good quality","negative"
"One Star","WAS NOT WHAT I EXPECTED.  SHOWS ONLY BLACK AND WHITE","negative"
"Quality","Found this to be a piece of junk.  Never worked and I couldn't get the remote to work either.  Take your money elsewhere.","negative"
"One Star","They do not work in the USA and they were not marked clearly when purchasing.","negative"
"Junk!!","Product did not work!  It turned on but would not read the disks.","negative"
"Two Stars","works properly sometimes","negative"
"Poor quality.","I just got around to plugging this in and it brings a defective connection cable (wrong size). Poor quality.","negative"
"One Star","Poor quality however the return process was simple.","negative"
"One Star","Couldn't get it to work had to send it back","negative"
"I cannot get the remote control to work. There ...","I cannot get the remote control to work. There are no buttons on the dvd player to play or stop.","negative"
"THE WORST","THE WORST dvd player EVER!!  do not buy this please.","negative"
"Two Stars","Got it for my son for Christmas and it already isn't reading the disks","negative"
"One Star","Do not buy this! Stopped working after a couple of months and I could not return it.","negative"
"Broken in less than two months.  Warranty only 30 days","Broken in less than two months.  Warranty only 30 days","negative"
"Compact and inexpensive","Very noicy during operation","negative"
"Junk.","It will not work.","negative"
"Doesn't play at all","Won't play any disc I try in it","negative"
"DO NOT BUY THIS","NEVER BUY THISThis is the worst DVD player I have ever used. It is loud and does not play movies. The player will freeze and not respond to the remote. I ordered 2 of these DVD players and both of them have this issue.","negative"
"One Star","Stoped working after 2 months","negative"
"Very poor quality","Very cheaply made. Did not work. Sending back.","negative"
"Piece of Junk!","DOA.","negative"
"Disappointed with the lack of indicators to let you know ...","Disappointed with the lack of indicators to let you know what is going on I guess you get what you pay for.","negative"
"One Star","Didn't fit description !","negative"
"junk","broke after 6 weeks.","negative"
"Arrived broken","Power turned on but disc door would not open","negative"
"Horrible quality of the product","Horrible quality of the product and it's you who pays for shipment and 20% extra. I wish I'd never bought it","negative"
"poor quality","I have only had this DVD player for 1 month and it is already broke. It turns off by itself and freezes. Wouldn't recommend this product for the price you have to pay.","negative"
"One Star","Came with wrong adapter","negative"
"JUNK!","JUNK .. Don't waste your money. Never worked from day 1. Purchased new!","negative"
"One Star","Did not work I requested a prepaid mailing label to return item.","negative"
"Don't buy!!!!","Worked great one time. It's black and white flipping picture. Compleatly disappointed","negative"
"One Star","Very poor quality don't buy it","negative"
"the item came opened which means it was used ...","the item came opened which means it was used and there was no instructions booklet. I had to return the item","negative"
"One Star","unit failed to work as soon as it arrived","negative"
"Dvd player","all the movies freeze even new ones. I need instrutions to return.","negative"
"One Star","Junk video is bad.","negative"
"Two Stars","It does not work consistently.","negative"
"Two Stars","It didn't work!!","negative"
"BIGGEST PIECE OF JUNK I'VE EVER SEEN! TWICE!","This is by far the BIGGEST PIECE OF JUNK I EVER PURCHASED! The first one I received...the DVD tray door would not open manually or with the remote. They sent.me a second one immediately and when I got it the door opened! PROGRESS! I put a DVD in there to test the device. It rumbled...and then NOTHING! So I went to open the door...No! IT WON'T OPEN! I TRUED EVERYTHING AND NOW MY DVD IS STUCK IN THERE! So this is my first review! STAY AWAY FROM IT!","negative"
"Did NOT work!","I bought this and sent it to my Aunt Mavis in Georgia.  It did NOT work.  Why sell items and ship them out if they DO NOT WORK?","negative"
"Look at picture","Please see picture.  Not a happy customer because of this experience.  Is there a reason why my first two attempts to post a review failed? Perhaps...","negative"
"HORRIBLE CUSTOMER SERVICE!","Ok so I paid $28.88 for this DVD player so I wasn't expecting it to last years and years however I was expecting it to last longer than 2 months. It is kept in my 3 year old twins' room and they watch about a half hour of DVD's a night before they go to bed so it is not getting a crazy amount of usage. About 2 weeks ago the screen starting blacking out for 1-2 seconds during playback. Sound would continue streaming but video would pause. Last night I went to put it on and the unit was completely frozen. We had to unplug it and plug it back in to get it to even open.I called CRAIG and their reply was that it did in fact come with a 3 month warranty however they would not cover and shipping and handling charges so I would have to pay to ship it to them (NY to Florida) and include a $12 check for them to ship it back to me and turn around time is 2-3 weeks for repair. So they want me to pay $25 in shipping charges for a unit that cost me $28???!!!???I previously had a compact Memorex unit that I paid $40 for and it lasted me about 5 years. When that unit crapped out I tried to find it again but couldn't and decided to try this one. That was a mistake. I will be replacing this unit with a more reputable brand.","negative"
"Skipping way too much","Keeps skipping and I don't even use it anymore. I try to play new DVDs and it pauses and skips all the time.","negative"
"crap","Piece of crap would not even work to cheap to send back waisted my money!!","negative"
"Two Stars","It works so it earned 2 stars but it's very loud!!","negative"
"sorry my deice do not funtion not work ...","sorry  my deice do not funtion not work ????","negative"
"One Star","Pretty much a piece of crap.","negative"
"I wouldn't recommend this- It is not working","I wouldn't recommend this- It is not working. I am currently working overseas and haven't given the opportunity to send it back. It's Garbage- don't waste your money.","negative"
"INFERIOR PRODUCT","Description of DVD Player was POOR when it was delivered it DID NOT WORK Was returned for REFUND  TO ME  D.SHEROD","negative"
"doesnt work","i got this product in the mail and when i hooked it all up it turned on but wont play any movies or anything.","negative"
"Terrible product. It says it runs on DC corrent ...","Terrible product. It says it runs on DC corrent but will not run in a vehicle. Their customer service says it is not for use in a vehicle which is the only reason to buy it.","negative"
"One Star","Do not buy. This does not work. Wish I would have opened it sooner so I could return it","negative"
"One Star","Sent it back it was such a bad product","negative"
"One Star","This product sucks do not buy","negative"
"It was a total peice of junk and i will ...","It was a total peice of junk and i will never buy eletronics through amozon again as a matter of fact i am boycotting amozon because of your gutless decision to stop selling confederate flags you people are cowards and i want nothing more from you i am paying off my cards and closing my accounts.","negative"
"One Star","I do not recommend this dvd player. The volume is very low.","negative"
"One Star","This thing is a piece of junk. beware","negative"
"Craig was a good name in electronics","Not any more. The player skips and hops thru the movies; the viewer doesn't have any control over it. Craig products are off my list from here on out.","negative"
"Broke in 4 months","It came with a 3-month warranty and broke 4 months after I purchased it.  I chose this particular model as it has no control buttons on it; our daughter is autistic quite brilliant and quite obsessed with constantly skipping chapters on her programs.  A DVD player with no on-board controls is vital for us to watch anything as a family (and we hide the remotes because she knows how to use them better than the rest of us).  This player was a god-send in so many ways simply because the only buttons on the unit were power and eject.The image is black and white only and partially frozen overlapping compiling images as the movies progress.  I changed cords to no avail.  In other words it's a bad product and I highly recommend you not purchase it.$32.  4 months and it broke.","negative"
"Would not work properly! You really get what you pay for! Maybe not even that!","Do not buy this item! I wasted my money. As defective as it gets! Would not work properly! Made in China. You really get what you pay for! Maybe not even! So disappointed with this piece of junk. Thank God we have an extra DVD player. If not ughh!!","negative"
"I hate it!","I try to play movies on this dreadful thing and it always pauses at some point during the movie and 5 long minutes later it resumes only to pause again.  I hate it!","negative"
"Very disappointed bought this as a gift for my husband ...","Very disappointed bought this as a gift for my husband to use in our home gym it worked fine for about two weeks then it started skipping and freezing constantly!","negative"
"However if my daughter watches a dvd about an hour in it will freeze on screen once you hit pause then play again it comes back fine but it does get aggravating","The products works for the most part. However if my daughter watches a dvd about an hour in it will freeze on screen once you hit pause then play again it comes back fine but it does get aggravating.","negative"
"Freezes and requires restart","After a year of infrequent use this DVD player freezes and won't play without shutdown and restarting. Poor.","negative"
"One Star","It never did work so I returned it.","negative"
"One Star","Mine died after a year","negative"
"One Star","Broke after once use.","negative"
"dont waste the","Stopped playing discs after a day.. dont waste the money","negative"
"One Star","I was able to watch a couple of dvds before it stopped working.","negative"
"One Star","IT CAME WITHOUT A ADAPTER IN THE BOX. SO I CAN'T USE IT.","negative"
"One Star","returned not compatible with the TV","negative"
"Doesn't support HDMI","I bought this item thinking it had an HDMI port but once I got it found out it does NOT have HDMI port.  Only supports component.  It says on the product page frequently bought with HDMI cable and when I had bought it it said it has HDMI port.  But now it has photos showing that it doesn't and HDMI is not mentioned in the description.","negative"
"Lies","It does not hook to t.v","negative"
"Please please do NOT buy!","This little DVD player worked for 2 hours. Yes you read that correctly- two hours. Then it slowly began skipping. Finally it just froze and died. I was so upset. I was looking forward to this lightweight slim DVD player and even ignored the haters on the reviews. Please please do NOT waste your money. Sadly this will be returned.","negative"
"TERRIBLE","Bought this DVD player about a week ago and it's already giving error messages and reading NO DISC. I have to keep restarting the system in  order to get it to read whether disc are old or new. My movies play for about 6 minutes and then it reads error or skips and cuts off. Worst product I've  ever purchased. Do not recommend to anyone.","negative"
"Review","Junk","negative"
"Crappy dvd player","I have only had the dvd player for a few months and it is already messing up. It shuts off after a while while playing and will also not read the disc when turned on. I have to turn it off and on a few times before it will. Not worth what I paid for it.","negative"
"Wont play all DVDs","Does not play all DVD formatsContacted Craig Electronics customer support they don't make it they buy it from another party and they could not give me any technical information on it as to what formats it plays","negative"
"Two Stars","It has no play button on the device and the remote does not work","negative"
"can't go wrong for the price","I had to change my rating on this product reason being on may 20th the DVD player just stopped the only reception I got was a bunch of wavy lines  similar  to the old analog Tv's  horizontal  hold. but I keep getting  the message of no signal from the time I first set the DVD player up I've  not changed  any settings on my TV or the player what is puzzling  is from the time I received  the product and set it up until it failed on may 20th it played flawlessly. then I tried playing a DVD on may 20th and that's when the problem mention above to the seller if you have any idea on why this happen and how it can be fixed I'll  gladly change the rating back to its  original status","negative"
"cute but annoying big buzz when you turn it on","Well it was a nice size but am returning it because when you turn it on it makes a significant buzz sound which interferes with trying to hear anything  else.","negative"
"Busted from day 1","Bought it it came took it out of the box got it all set up I pressed the open tray button DVD in hand and butt primed and ready for some quality time on the couch and... It whirred and nothing happened. The tray wouldn't open. So yeah probably should give this one a miss.","negative"
"Piece of junk","Don't waste your money; this is a piece of junk.  After about 40 minutes of playing a DVD the unit shuts itself off and nothing I do makes it power up again.  And I have a brand new DVD stuck inside the player.","negative"
"Where there's smoke...","Literally burned up after 4 weeks of use.  The player began to smoke and ceased operation last night.  We only used the player 1x per week to show videos for a class.  Unbelievably low-quality workmanship.  I guess you really do get what you pay for.","negative"
"DOES NOT WORK WITH BLU-RAY DVDs","This product is great for travel however there was no indication that it would not play Blu-ray DVDs.  Also when I tried using the subtitle feature on the remote I received an error message.  Don't buy this unit if you want to play all DVDs.","negative"
"Not Thrilled At All","I received it after over a week of waiting and it wasn't working. I got a power signal when I plugged it in but the remote wouldn't open it and the buttons on the machine wouldn't open it so that I could put the movie in. Also sucks that I have to  mail it back and then wait to get money back.","negative"
"Worked great for 6 months","Worked great for 6 months. Unfortunately the door became stuck in the half open position. Will not look to purchase any more Craig products. You have gotten me for the last time.","negative"
"Everything hooked up nicely. It even had the batteries for the remote","Had all the stuff. Was the right size to mount behind TV in customer lounge. Everything hooked up nicely. It even had the batteries for the remote.It just dose not work. Turns on but will not play any DVD. Going to reorder maybe.","negative"
"PISS... do not buy this product. ...","PISS... do not buy this product. It is incapable of working. I have taken pictures of my dvd coming out without the tray. It will scratch your DVD. Just got it 4 days ago. I want my money back. Go to a store to buy electronics not Amazon","negative"
"you can throw it in the garbage.","Very low quality as it should be for the price. It did not work at all. I opened it to load a disc and it would not close. Also there are only 2 buttons on the machine (power button and play button) so if you lose the very small remote you can throw it in the garbage.","negative"
"Failed quickly","Really cheap. Stopped working about 2 weeks after buying it. I wouldn't order it again or recommend it to anyone who needs it to work more than 2 or 3 times.","negative"
"The player worked great for a couple months","The player worked great for a couple months. But 4 months in it just stopped working. Hoping the manufacturer will replace still waiting on a call back.","negative"
"DO NOT RECOMMEND.","DVD PLAYER DOES NOT  MEET MY NEEDS.  IT DOES NOT RETAIN THE STOP AND PAUSE FUNCTIONALITIES I.E. DURING PLAYBACK  WHEN YOU SELECT STOP AND TURN OFF THE PLAYER THE MOVIE DOES NOT CONTINUE FROM WHERE IT STOPPED BUT STARTS ALL OVER AGAIN ROM THE BEGINNING.  LIKEWISE IF PAUSE IS SELECTED  FOR 15 MINUTES  IT AUTOMATICALLY  CHANGES TO PLAY  MODE AND THE MOVIE RESTARTS FROM THE BEGINNING.  DO NOT RECOMMEND.","negative"
"Failed in less than 6 months","Survived not even half a year of light use. Began skipping quite often on different DVDs and had a lot of trouble reading discs. Do not buy.","negative"
"One Star","The sound was horrible. You could not hear the movie no matter how high you put the tv.","negative"
"Must unplug after each use","Well it PLAYS DVDs but we have to unplug it before and after every use otherwise it is completely useless. It won't turn off or eject or play by pressing any of the buttons on the device or remote unless we unplug it first and plug it back in every single time.","negative"
"Please read before purchasing and save yourself the money","This product is absolutely aweful. After two days of having it the device began to fail reading the DVD intermittently. Didn’t think anything of it but no after a month has completely failed to load any disc! This is unfortunate bc it is very compact and exactly the size I needed but you can’t pass up quality for aesthetics.","negative"
"Flop... Right out of the box","This device does not work. Not matter what configuration I tried it does not show color.","negative"
"One Star","stopped working just after the period of time that you could return it.","negative"
"Be cautious","Wont play about half of my dvd’s","negative"
"Buyer beware -","Unit was defective:  item doesn't spin up / load disc; doesn't recognize inserted disc.  Not a quality item nor a bargain if it doesn't work fresh out of box.  Worse intended as a gift to a family member this was an embarrasment","negative"
"Not an HDMI Player","Not an HDMI Player as advertised; they shipped a player without an HDMI port in it!","negative"
"Product failed after 3 months","We used this for 3 months and the DVD player started playing for about 2 mins and then alternates a pink and black screen. I would not recommend. Its priced well but not if it lasts only 3 months.","negative"
"... it started having issues of choppy video which got worse with time","After we played a few DVDs it started having issues of choppy video which got worse with time. Piece of junk. At least we didn’t pay very much for it. Past return period so SOL.","negative"
"Crappy But Useful","Ok listen this thing is basically a piece of crap but it works and it serves my purpose which is to watch and learn my Nia Technique routines on a little tv monitor while working in the kitchen. You can hear the motor spin the remote has to be in direct line to have the device read it and even then you have to push the button a few times and it doesn't remember where you were watching the dvd; so when it shuts off automatically should you walk away to do something you come back to find it shut off (good saves power) and have to restart and find your place again (time waster). My husband is starting to download all my training dvds on his computer so now I will be able to watch them on my Apple TV. In the meantime I feel a bit like a cave woman.","negative"
"Even though a good price I would not buy again","Well it made it past a year and then jammed. Even though a good price I would not buy again.","negative"
"Complete junk","This thing is junk! HDMI output went out on first use the thing is louder than the TV itself when it rins","negative"
"Stopped working after 1. 5 dvd's were watched. ...","Stopped working after 1.5 dvd's were watched. You get what you pay for.","negative"
"Broke after 2nd use","Got it to use in motorhome.  Worked well 1st night stopped working and ate the DVD on the 2nd use.  Too late to return after we got back from vacation.","negative"
"Missing remote!!!","DVD remote was missing and without it you cannot play the dvd","negative"
"its junk don't buy it it keeps stopping during movies ...","its junk don't buy it it keeps stopping during movies and sometimes I have to start them over and it will still freeze up","negative"
"One Star","The CD tray would not open so I returned it for a refund.","negative"
"I would not want another one like that.","I used it four times and it stopped working failing to come and eject my DVD.  I would not want another one like that.","negative"
"Like that it","I. Did not. Like that it. Came with out being. In a nother box.  To hide what was inside.","negative"
"Never worked","Never worked once! So sad because this was to play movies for my child's birthday party in 2 days.","negative"
"You get what you pay for...","Pretty much junk - but hey you get what you pay for eh?","negative"
"Properties","I just wasted the money Item doesn't work it states wrong region","negative"
"Smoking","Just got it plugged it in and started smoking waste of money","negative"
"Two Stars","The sound goes in and out on the dvd.","negative"
"One Star","Did not work either from the DVD or from the TV.  the remote would not even work","negative"
"One Star","This is not a 12 volt player it runs off 5 volts dc or the 110 adapter","negative"
"MISLEADING NO HDMI OUT","NO HDMI output at All on this thing... Just Component AV output - VERY MISLEADING","negative"
"poor quality but what do you expect for the ...","DVD Player doesn't work anymore. I need to force the opening to remove a DVD still in.poor quality but what do you expect for the price…?","negative"
"I bought 2 of them. They did not last ...","I bought 2 of them. They did not last long. The sound goes out on DVD’s when using the DVD player (it happened with both layers). The DVD player also makes a shakey-wavey picture on the tv. This dvd should be taken off the market.","negative"
"Failed","Failed in under 6 months","negative"
"Not an HDMI Player as advertised; they shipped a player without an HDMI port in it!","Not an HDMI Player as advertised; they shipped a player without an HDMI port in it!","negative"
"Two Stars","unable to use hdmi cables","negative"
"Don't buy got it end of July play I disc ...","Don't buy got it end of July play I disc and then stop functioning last night while playing a movie I bought","negative"
"Do not buy","This is not a HDMI DVD player.","negative"
"One Star","Product is not good less fourth month fail","negative"
"One Star","slow noisey unpredictable","negative"
"NOT HDMI Capable DVD Player","Ordered this item twice to make sure I was not mistaken.  Although the heading clearly says Craig HDMI DVD player this player does NOT have an HDMI out plug.  Very disappointing.","negative"
"Does not Work","This product worked two times when I first received it and hasn't worked since. Cables are fine hookup is as directed television no longer recognizes the unit as installed rendering this a useless piece of equipment. Gave it two stars as the price was right.","negative"
"I bought this for its small form factor and ...","I bought this for its small form factor and I figured that a simple DVD player should simply play a DVD with no bells and whistles. When it came it worked although loudly humming while doing so. But shortly after the return windown closed it stopped accepting discs. All discs. New and clean ones. You put a disc it it humms for a bit and says no disc. Now I'm stuck with it.","negative"
"Waste of money","Was always pretty dodgy and only lasted 6 months. Always showed the picture in a small size no matter what setting we used (same DVDs that played full size on our other DVD player.)","negative"
"No S-video output","Looked for an hour to find a DVD player that has an S-video output.  This one says in the description that it has a Coaxial and an S-video output.  au contraire It has neither of these.  Fine little DVD player except for the liar that wrote the description.  Maybe liar is a little harsh maybe it was someone that simple thought they would write a description about something they knew very little about.  Don't think it's worth returning since it was very cheap.","negative"
"Stopped working after one use!","It looked ok when it arrived and even using it the first time it froze on me.  I reset it and it made it for the rest of the session.  The next time I went to use it the door only opened half way and now wont do anything.","negative"
"Cheap worthless piece of JUNK.","What a cheap worthless piece of junk. The picture is blurred and not crisp even on a new high definition television. The sound does not work at all because you cannot turn up the volume on the broken remote control. AVOID this junk and buy anything else that is made. It has to be better than this thing.","negative"
